seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
2,lossless,16,17,0.4607,0.5327,0.0,0.3607,0.6393,1,0.0,0.0
2,lossless,17,18,0.4715,0.4913,0.0507,0.3715,0.6285,1,0.0,0.0
2,lossless,18,19,0.4828,0.4994,0.0,0.3828,0.6172,1,0.0,0.0
2,lossless,19,20,0.4896,0.5182,0.0,0.3896,0.6104,1,0.0,0.0
2,lossless,20,25,0.5013,0.5037,0.0,0.4013,0.5987,1,0.0,0.0
2,lossless,21,22,0.4688,0.4781,0.0,0.3688,0.6312,1,0.0,0.0
2,lossless,22,23,0.4872,0.4827,0.0013,0.3872,0.6128,1,0.0,0.0
2,lossless,23,24,0.478,0.5036,0.0135,0.378,0.622,1,0.0,0.0
2,lossless,24,25,0.4798,0.4957,0.025,0.3798,0.6202,1,0.0,0.0
2,lossless,25,24,0.5794,0.5271,0.0349,0.3794,0.6206,2,0.0,0.0
3,lossless,2,1,0.4284,0.5185,0.0,0.3284,0.6716,1,0.0,0.0
3,lossless,3,4,0.4789,0.4998,0.0,0.3789,0.6211,1,0.0,0.0
3,lossless,4,5,0.4802,0.484,0.0334,0.3802,0.6198,1,0.0,0.0
3,lossless,5,10,0.4782,0.4455,0.0018,0.3782,0.6218,1,0.0,0.0
3,lossless,6,1,0.426,0.4705,0.0117,0.326,0.674,1,0.0,0.0
3,lossless,7,8,0.4839,0.4926,0.0,0.3839,0.6161,1,0.0,0.0
3,lossless,8,9,0.4689,0.5102,0.0,0.3689,0.6311,1,0.0,0.0
3,lossless,9,10,0.4668,0.5218,0.0,0.3668,0.6332,1,0.0,0.0
3,lossless,10,15,0.4387,0.4982,0.002,0.3387,0.6613,1,0.0,0.0
3,lossless,11,12,0.4772,0.4933,0.0,0.3772,0.6228,1,0.0,0.0
3,lossless,12,13,0.4691,0.5171,0.0,0.3691,0.6309,1,0.0,0.0
3,lossless,13,14,0.4607,0.4815,0.0369,0.3607,0.6393,1,0.0,0.0
3,lossless,14,15,0.4512,0.4865,0.0453,0.3512,0.6488,1,0.0,0.0
3,lossless,15,20,0.4778,0.5027,0.0,0.3778,0.6222,1,0.0,0.0
3,lossless,16,17,0.4701,0.4878,0.0,0.3701,0.6299,1,0.0,0.0
3,lossless,17,18,0.4858,0.4808,0.0,0.3858,0.6142,1,0.0,0.0
3,lossless,18,19,0.4857,0.5044,0.0,0.3857,0.6143,1,0.0,0.0
3,lossless,19,20,0.4576,0.5098,0.0,0.3576,0.6424,1,0.0,0.0
3,lossless,20,25,0.4883,0.5109,0.0205,0.3883,0.6117,1,0.0,0.0
3,lossless,21,22,0.4666,0.4971,0.0,0.3666,0.6334,1,0.0,0.0
3,lossless,22,23,0.4626,0.4727,0.0,0.3626,0.6374,1,0.0,0.0
3,lossless,23,24,0.462,0.5065,0.0,0.362,0.638,1,0.0,0.0
3,lossless,24,25,0.4896,0.4853,0.0,0.3896,0.6104,1,0.0,0.0
3,lossless,25,20,0.5792,0.5006,0.0425,0.3792,0.6208,2,0.0,0.0
4,lossless,2,1,0.4118,0.5284,0.0073,0.3118,0.6882,1,0.0,0.0
4,lossless,3,4,0.4671,0.4822,0.0,0.3671,0.6329,1,0.0,0.0
4,lossless,4,5,0.496,0.5088,0.0065,0.396,0.604,1,0.0,0.0
4,lossless,5,10,0.4835,0.5016,0.03,0.3835,0.6165,1,0.0,0.0
4,lossless,6,1,0.4332,0.463,0.0,0.3332,0.6668,1,0.0,0.0
4,lossless,7,8,0.482,0.4732,0.02,0.382,0.618,1,0.0,0.0
4,lossless,8,9,0.5012,0.514,0.0,0.4012,0.5988,1,0.0,0.0
4,lossless,9,10,0.4506,0.4769,0.0,0.3506,0.6494,1,0.0,0.0
4,lossless,10,15,0.4708,0.5055,0.0007,0.3708,0.6292,1,0.0,0.0
4,lossless,11,12,0.4587,0.4933,0.0138,0.3587,0.6413,1,0.0,0.0
4,lossless,12,13,0.4646,0.4797,0.0,0.3646,0.6354,1,0.0,0.0
4,lossless,13,14,0.4921,0.5335,0.0,0.3921,0.6079,1,0.0,0.0
4,lossless,14,15,0.466,0.5075,0.0,0.366,0.634,1,0.0,0.0
4,lossless,15,19,0.538,0.3082,0.0,0.438,0.562,1,0.0,0.0
4,lossless,16,17,0.4718,0.4959,0.0,0.3718,0.6282,1,0.0,0.0
4,lossless,17,18,0.4723,0.4794,0.0,0.3723,0.6277,1,0.0,0.0
4,lossless,18,19,0.4922,0.4772,0.0,0.3922,0.6078,1,0.0,0.0
4,lossless,19,20,0.4754,0.475,0.0536,0.3754,0.6246,1,0.0,0.0
4,lossless,20,25,0.4819,0.5149,0.0,0.3819,0.6181,1,0.0,0.0
4,lossless,21,22,0.4723,0.4666,0.0109,0.3723,0.6277,1,0.0,0.0
4,lossless,22,23,0.4613,0.5267,0.0069,0.3613,0.6387,1,0.0,0.0
4,lossless,23,24,0.4499,0.5386,0.0,0.3499,0.6501,1,0.0,0.0
4,lossless,24,25,0.4827,0.5133,0.0,0.3827,0.6173,1,0.0,0.0
4,lossless,25,24,0.5999,0.5162,0.0,0.3999,0.6001,2,0.0,0.0
5,lossless,2,1,0.4125,0.5131,0.0,0.3125,0.6875,1,0.0,0.0
5,lossless,3,4,0.491,0.4914,0.0328,0.391,0.609,1,0.0,0.0
5,lossless,4,5,0.4597,0.5278,0.0386,0.3597,0.6403,1,0.0,0.0
5,lossless,5,10,0.4432,0.5406,0.0,0.3432,0.6568,1,0.0,0.0
5,lossless,6,1,0.4014,0.5286,0.0,0.3014,0.6986,1,0.0,0.0
5,lossless,7,8,0.4745,0.5279,0.0104,0.3745,0.6255,1,0.0,0.0
5,lossless,8,9,0.461,0.4797,0.0498,0.361,0.639,1,0.0,0.0
5,lossless,9,10,0.4663,0.4731,0.0,0.3663,0.6337,1,0.0,0.0
5,lossless,10,15,0.4758,0.5067,0.0181,0.3758,0.6242,1,0.0,0.0
5,lossless,11,12,0.4627,0.4865,0.0039,0.3627,0.6373,1,0.0,0.0
5,lossless,12,13,0.4607,0.4944,0.0295,0.3607,0.6393,1,0.0,0.0
5,lossless,13,14,0.4935,0.5201,0.008,0.3935,0.6065,1,0.0,0.0
5,lossless,14,15,0.4918,0.5066,0.0,0.3918,0.6082,1,0.0,0.0
5,lossless,15,20,0.4799,0.5315,0.0,0.3799,0.6201,1,0.0,0.0
5,lossless,16,17,0.4906,0.4647,0.0,0.3906,0.6094,1,0.0,0.0
5,lossless,17,18,0.4723,0.5056,0.0,0.3723,0.6277,1,0.0,0.0
5,lossless,18,19,0.4704,0.4824,0.0,0.3704,0.6296,1,0.0,0.0
5,lossless,19,20,0.4839,0.5049,0.0019,0.3839,0.6161,1,0.0,0.0
5,lossless,20,25,0.439,0.4468,0.0,0.339,0.661,1,0.0,0.0
5,lossless,21,22,0.4842,0.468,0.0,0.3842,0.6158,1,0.0,0.0
5,lossless,22,23,0.4513,0.4999,0.0008,0.3513,0.6487,1,0.0,0.0
5,lossless,23,24,0.4859,0.5102,0.0,0.3859,0.6141,1,0.0,0.0
5,lossless,24,25,0.4643,0.5288,0.0057,0.3643,0.6357,1,0.0,0.0
5,lossless,25,20,0.5996,0.475,0.0,0.3996,0.6004,2,0.0,0.0
6,lossless,2,1,0.4073,0.478,0.0,0.3073,0.6927,1,0.0,0.0
6,lossless,3,4,0.4938,0.5104,0.0614,0.3938,0.6062,1,0.0,0.0
6,lossless,4,5,0.4689,0.5166,0.0041,0.3689,0.6311,1,0.0,0.0
6,lossless,5,10,0.4499,0.5008,0.0805,0.3499,0.6501,1,0.0,0.0
6,lossless,6,1,0.4236,0.4842,0.0025,0.3236,0.6764,1,0.0,0.0
6,lossless,7,8,0.4478,0.4998,0.0,0.3478,0.6522,1,0.0,0.0
6,lossless,8,9,0.4512,0.4839,0.0,0.3512,0.6488,1,0.0,0.0
