scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
qos_sensitive,0,31.0,4,7,0.4592,0.2749,0.6542,0.3592,0.6408,1,0.0,0.0289
qos_sensitive,0,31.0,5,1,0.4103,0.5135,0.6582,0.2291,0.6897,1,0.0,0.0289
qos_sensitive,0,31.0,6,7,0.3763,0.4895,0.7111,0.3883,0.7237,1,0.0,0.0289
qos_sensitive,0,31.0,7,8,0.4038,0.5176,0.6675,0.2595,0.6962,1,0.0,0.0289
qos_sensitive,0,31.0,8,12,0.4081,0.4941,0.6809,0.2394,0.6919,1,0.0,0.0289
qos_sensitive,0,31.0,9,10,0.4039,0.4899,0.6908,0.2591,0.6961,1,0.0,0.0289
qos_sensitive,0,31.0,10,11,0.3916,0.4649,0.6612,0.3164,0.7084,1,0.0,0.0289
qos_sensitive,0,31.0,11,12,0.4157,0.4817,0.6593,0.2039,0.6843,1,0.0,0.0289
qos_sensitive,0,31.0,12,16,0.3898,0.4838,0.6688,0.3251,0.7102,1,0.0,0.0289
qos_sensitive,0,31.0,13,14,0.3856,0.5055,0.6608,0.3448,0.7144,1,0.0,0.0289
qos_sensitive,0,31.0,14,15,0.4046,0.4934,0.6926,0.2557,0.6954,1,0.0,0.0289
qos_sensitive,0,31.0,15,16,0.4021,0.5022,0.691,0.2676,0.6979,1,0.0,0.0289
qos_sensitive,0,31.0,16,12,0.5058,0.5237,0.6948,0.2631,0.6942,2,0.0,0.0289
qos_sensitive,0,41.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,41.0,2,1,0.3946,0.4985,0.5993,0.3026,0.7054,1,0.0,0.0296
qos_sensitive,0,41.0,3,4,0.4011,0.4965,0.5818,0.2721,0.6989,1,0.0,0.0296
qos_sensitive,0,41.0,4,7,0.4592,0.2512,0.5519,0.3592,0.6408,1,0.0,0.0296
qos_sensitive,0,41.0,5,1,0.3569,0.4825,0.5527,0.4257,0.7431,1,0.0,0.0296
qos_sensitive,0,41.0,6,7,0.3763,0.4974,0.6179,0.3883,0.7237,1,0.0,0.0296
qos_sensitive,0,41.0,7,8,0.4038,0.4824,0.5591,0.2595,0.6962,1,0.0,0.0296
qos_sensitive,0,41.0,8,12,0.4081,0.5276,0.5756,0.2394,0.6919,1,0.0,0.0296
qos_sensitive,0,41.0,9,10,0.4039,0.3948,0.5929,0.2591,0.6961,1,0.0,0.0296
qos_sensitive,0,41.0,10,11,0.3916,0.5142,0.55,0.3164,0.7084,1,0.0,0.0296
qos_sensitive,0,41.0,11,12,0.4157,0.5242,0.5631,0.2039,0.6843,1,0.0,0.0296
qos_sensitive,0,41.0,12,16,0.3898,0.5247,0.5653,0.3251,0.7102,1,0.0,0.0296
qos_sensitive,0,41.0,13,14,0.3856,0.4952,0.5641,0.3448,0.7144,1,0.0,0.0296
qos_sensitive,0,41.0,14,15,0.4046,0.481,0.5888,0.2557,0.6954,1,0.0,0.0296
qos_sensitive,0,41.0,15,16,0.4021,0.4355,0.5879,0.2676,0.6979,1,0.0,0.0296
qos_sensitive,0,41.0,16,12,0.5058,0.503,0.5824,0.2631,0.6942,2,0.0,0.0296
qos_sensitive,0,51.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,51.0,2,1,0.3946,0.4861,0.4845,0.3026,0.7054,1,0.0,0.0299
qos_sensitive,0,51.0,3,4,0.4011,0.5069,0.4701,0.2721,0.6989,1,0.0,0.0299
qos_sensitive,0,51.0,4,7,0.4592,0.2774,0.459,0.3592,0.6408,1,0.0,0.0299
qos_sensitive,0,51.0,5,1,0.3569,0.5124,0.4574,0.4257,0.7431,1,0.0,0.0299
qos_sensitive,0,51.0,6,7,0.3763,0.5104,0.513,0.3883,0.7237,1,0.0,0.0299
qos_sensitive,0,51.0,7,8,0.4038,0.5385,0.4538,0.2595,0.6962,1,0.0,0.0299
qos_sensitive,0,51.0,8,12,0.4081,0.3986,0.4986,0.2394,0.6919,1,0.0,0.0299
qos_sensitive,0,51.0,9,10,0.4039,0.5139,0.4859,0.2591,0.6961,1,0.0,0.0299
qos_sensitive,0,51.0,10,11,0.3916,0.516,0.4474,0.3164,0.7084,1,0.0,0.0299
qos_sensitive,0,51.0,11,12,0.4157,0.4633,0.4536,0.2039,0.6843,1,0.0,0.0299
qos_sensitive,0,51.0,12,16,0.3898,0.5198,0.446,0.3251,0.7102,1,0.0,0.0299
qos_sensitive,0,51.0,13,14,0.3856,0.5229,0.4604,0.3448,0.7144,1,0.0,0.0299
qos_sensitive,0,51.0,14,15,0.4046,0.4408,0.4853,0.2557,0.6954,1,0.0,0.0299
qos_sensitive,0,51.0,15,16,0.4021,0.4889,0.4902,0.2676,0.6979,1,0.0,0.0299
qos_sensitive,0,51.0,16,12,0.5058,0.5257,0.4846,0.2631,0.6942,2,0.0,0.0299
qos_sensitive,0,61.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,61.0,2,1,0.3946,0.4549,0.3731,0.3026,0.7054,1,0.0,0.03
qos_sensitive,0,61.0,3,4,0.4011,0.5206,0.357,0.2721,0.6989,1,0.0,0.03
qos_sensitive,0,61.0,4,7,0.4592,0.2854,0.3485,0.3592,0.6408,1,0.0,0.03
qos_sensitive,0,61.0,5,1,0.3569,0.5035,0.3555,0.4257,0.7431,1,0.0,0.03
qos_sensitive,0,61.0,6,7,0.3763,0.4503,0.4253,0.3883,0.7237,1,0.0,0.03
qos_sensitive,0,61.0,7,8,0.4038,0.5599,0.3607,0.2595,0.6962,1,0.0,0.03
qos_sensitive,0,61.0,8,12,0.4081,0.4932,0.378,0.2394,0.6919,1,0.0,0.03
qos_sensitive,0,61.0,9,10,0.4039,0.401,0.3826,0.2591,0.6961,1,0.0,0.03
qos_sensitive,0,61.0,10,11,0.3916,0.4811,0.3262,0.3164,0.7084,1,0.0,0.03
qos_sensitive,0,61.0,11,12,0.4157,0.5001,0.3621,0.2039,0.6843,1,0.0,0.03
qos_sensitive,0,61.0,12,16,0.3898,0.4807,0.3331,0.3251,0.7102,1,0.0,0.03
qos_sensitive,0,61.0,13,14,0.3856,0.5213,0.3609,0.3448,0.7144,1,0.0,0.03
qos_sensitive,0,61.0,14,15,0.4046,0.5095,0.3783,0.2557,0.6954,1,0.0,0.03
qos_sensitive,0,61.0,15,16,0.4021,0.4812,0.3996,0.2676,0.6979,1,0.0,0.03
qos_sensitive,0,61.0,16,12,0.5058,0.4857,0.3774,0.2631,0.6942,2,0.0,0.03
qos_sensitive,0,71.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,0,71.0,2,1,0.3946,0.5322,0.2675,0.3026,0.7054,1,0.0,0.03
qos_sensitive,0,71.0,3,4,0.4011,0.4909,0.2537,0.2721,0.6989,1,0.0,0.03
qos_sensitive,0,71.0,4,7,0.4592,0.2507,0.2478,0.3592,0.6408,1,0.0,0.03
qos_sensitive,0,71.0,5,1,0.3569,0.429,0.2448,0.4257,0.7431,1,0.0,0.03
qos_sensitive,0,71.0,6,7,0.3763,0.4511,0.3258,0.3883,0.7237,1,0.0,0.03
qos_sensitive,0,71.0,7,8,0.4038,0.4637,0.2515,0.2595,0.6962,1,0.0,0.03
qos_sensitive,0,71.0,8,12,0.4081,0.4659,0.2757,0.2394,0.6919,1,0.0,0.03
qos_sensitive,0,71.0,9,10,0.4039,0.505,0.2675,0.2591,0.6961,1,0.0,0.03
qos_sensitive,0,71.0,10,11,0.3916,0.5069,0.2295,0.3164,0.7084,1,0.0,0.03
qos_sensitive,0,71.0,11,12,0.4157,0.3883,0.2752,0.2039,0.6843,1,0.0,0.03
qos_sensitive,0,71.0,12,16,0.3898,0.5028,0.2284,0.3251,0.7102,1,0.0,0.03
qos_sensitive,0,71.0,13,14,0.3856,0.4888,0.2548,0.3448,0.7144,1,0.0,0.03
qos_sensitive,0,71.0,14,15,0.4046,0.4974,0.272,0.2557,0.6954,1,0.0,0.03
qos_sensitive,0,71.0,15,16,0.4021,0.507,0.3036,0.2676,0.6979,1,0.0,0.03
qos_sensitive,0,71.0,16,12,0.5058,0.4947,0.2892,0.2631,0.6942,2,0.0,0.03
qos_sensitive,1,1.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,1.0,2,1,0.3847,0.5146,0.9904,0.3488,0.7153,1,0.0,0.003
qos_sensitive,1,1.0,3,7,0.393,0.503,0.9893,0.3101,0.707,1,0.0,0.003
qos_sensitive,1,1.0,4,7,0.4476,0.445,0.9898,0.0545,0.6524,1,0.0,0.003
qos_sensitive,1,1.0,5,1,0.3839,0.5158,0.9929,0.3528,0.7161,1,0.0,0.003
qos_sensitive,1,1.0,6,10,0.3879,0.5101,0.9944,0.3337,0.7121,1,0.0,0.003
qos_sensitive,1,1.0,7,8,0.4137,0.474,0.9877,0.2133,0.6863,1,0.0,0.003
qos_sensitive,1,1.0,8,12,0.3937,0.502,0.9852,0.3067,0.7063,1,0.0,0.003
qos_sensitive,1,1.0,9,10,0.3818,0.5188,0.9874,0.3625,0.7182,1,0.0,0.003
qos_sensitive,1,1.0,10,11,0.4051,0.486,0.9945,0.2532,0.6949,1,0.0,0.003
qos_sensitive,1,1.0,11,12,0.3972,0.4971,0.9885,0.2903,0.7028,1,0.0,0.003
qos_sensitive,1,1.0,12,15,0.436,0.4613,0.9909,0.1088,0.664,1,0.0,0.003
qos_sensitive,1,1.0,13,14,0.3807,0.5203,0.9927,0.3677,0.7193,1,0.0,0.003
qos_sensitive,1,1.0,14,15,0.4024,0.4898,0.985,0.2661,0.6976,1,0.0,0.003
qos_sensitive,1,1.0,15,16,0.3816,0.5191,0.9918,0.3636,0.7184,1,0.0,0.003
qos_sensitive,1,1.0,16,15,0.4935,0.523,0.9906,0.3266,0.7065,2,0.0,0.003
qos_sensitive,1,11.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,11.0,2,1,0.3847,0.4655,0.8662,0.3488,0.7153,1,0.0,0.0206
qos_sensitive,1,11.0,3,7,0.393,0.5198,0.8843,0.3101,0.707,1,0.0,0.0206
qos_sensitive,1,11.0,4,7,0.4476,0.3174,0.8949,0.0545,0.6524,1,0.0,0.0206
qos_sensitive,1,11.0,5,1,0.3839,0.4793,0.8814,0.3528,0.7161,1,0.0,0.0206
qos_sensitive,1,11.0,6,10,0.3879,0.5138,0.887,0.3337,0.7121,1,0.0,0.0206
qos_sensitive,1,11.0,7,8,0.4137,0.4694,0.8829,0.2133,0.6863,1,0.0,0.0206
qos_sensitive,1,11.0,8,12,0.3937,0.509,0.868,0.3067,0.7063,1,0.0,0.0206
qos_sensitive,1,11.0,9,10,0.3818,0.4925,0.8895,0.3625,0.7182,1,0.0,0.0206
qos_sensitive,1,11.0,10,11,0.4051,0.5311,0.8948,0.2532,0.6949,1,0.0,0.0206
qos_sensitive,1,11.0,11,12,0.3972,0.5174,0.8881,0.2903,0.7028,1,0.0,0.0206
qos_sensitive,1,11.0,12,15,0.436,0.302,0.8741,0.1088,0.664,1,0.0,0.0206
qos_sensitive,1,11.0,13,14,0.3807,0.5326,0.8924,0.3677,0.7193,1,0.0,0.0206
qos_sensitive,1,11.0,14,15,0.4024,0.3894,0.8964,0.2661,0.6976,1,0.0,0.0206
qos_sensitive,1,11.0,15,16,0.3816,0.4941,0.8904,0.3636,0.7184,1,0.0,0.0206
qos_sensitive,1,11.0,16,15,0.4935,0.4576,0.8958,0.3266,0.7065,2,0.0,0.0206
qos_sensitive,1,21.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,21.0,2,1,0.3847,0.4347,0.7634,0.3488,0.7153,1,0.0,0.0267
qos_sensitive,1,21.0,3,7,0.393,0.5062,0.7967,0.3101,0.707,1,0.0,0.0267
qos_sensitive,1,21.0,4,7,0.4476,0.288,0.7944,0.0545,0.6524,1,0.0,0.0267
qos_sensitive,1,21.0,5,1,0.3839,0.4819,0.7865,0.3528,0.7161,1,0.0,0.0267
qos_sensitive,1,21.0,6,10,0.3879,0.5293,0.7854,0.3337,0.7121,1,0.0,0.0267
qos_sensitive,1,21.0,7,8,0.4137,0.5274,0.7776,0.2133,0.6863,1,0.0,0.0267
qos_sensitive,1,21.0,8,12,0.3937,0.5165,0.7811,0.3067,0.7063,1,0.0,0.0267
qos_sensitive,1,21.0,9,10,0.3818,0.4807,0.8016,0.3625,0.7182,1,0.0,0.0267
qos_sensitive,1,21.0,10,11,0.4051,0.5324,0.7926,0.2532,0.6949,1,0.0,0.0267
qos_sensitive,1,21.0,11,12,0.3972,0.4986,0.792,0.2903,0.7028,1,0.0,0.0267
qos_sensitive,1,21.0,12,15,0.436,0.2749,0.7817,0.1088,0.664,1,0.0,0.0267
qos_sensitive,1,21.0,13,14,0.3807,0.513,0.786,0.3677,0.7193,1,0.0,0.0267
qos_sensitive,1,21.0,14,15,0.4024,0.5018,0.7949,0.2661,0.6976,1,0.0,0.0267
qos_sensitive,1,21.0,15,16,0.3816,0.5301,0.7881,0.3636,0.7184,1,0.0,0.0267
qos_sensitive,1,21.0,16,15,0.4935,0.4245,0.8115,0.3266,0.7065,2,0.0,0.0267
qos_sensitive,1,31.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,31.0,2,1,0.3847,0.5091,0.6706,0.3488,0.7153,1,0.0,0.0289
qos_sensitive,1,31.0,3,7,0.393,0.4982,0.7067,0.3101,0.707,1,0.0,0.0289
qos_sensitive,1,31.0,4,7,0.4476,0.287,0.7079,0.0545,0.6524,1,0.0,0.0289
qos_sensitive,1,31.0,5,1,0.3839,0.4646,0.675,0.3528,0.7161,1,0.0,0.0289
qos_sensitive,1,31.0,6,10,0.3879,0.4965,0.693,0.3337,0.7121,1,0.0,0.0289
qos_sensitive,1,31.0,7,8,0.4137,0.4735,0.6769,0.2133,0.6863,1,0.0,0.0289
qos_sensitive,1,31.0,8,12,0.3937,0.4814,0.679,0.3067,0.7063,1,0.0,0.0289
qos_sensitive,1,31.0,9,10,0.3818,0.4702,0.693,0.3625,0.7182,1,0.0,0.0289
qos_sensitive,1,31.0,10,11,0.4051,0.5227,0.6909,0.2532,0.6949,1,0.0,0.0289
qos_sensitive,1,31.0,11,12,0.3972,0.5174,0.7091,0.2903,0.7028,1,0.0,0.0289
qos_sensitive,1,31.0,12,15,0.436,0.274,0.6763,0.1088,0.664,1,0.0,0.0289
qos_sensitive,1,31.0,13,14,0.3807,0.5083,0.6828,0.3677,0.7193,1,0.0,0.0289
qos_sensitive,1,31.0,14,15,0.4024,0.4618,0.6898,0.2661,0.6976,1,0.0,0.0289
qos_sensitive,1,31.0,15,16,0.3816,0.5231,0.6805,0.3636,0.7184,1,0.0,0.0289
qos_sensitive,1,31.0,16,15,0.4935,0.4606,0.7276,0.3266,0.7065,2,0.0,0.0289
qos_sensitive,1,41.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,41.0,2,1,0.3847,0.5022,0.5599,0.3488,0.7153,1,0.0,0.0296
qos_sensitive,1,41.0,3,7,0.393,0.3619,0.6087,0.3101,0.707,1,0.0,0.0296
qos_sensitive,1,41.0,4,7,0.4476,0.2539,0.5959,0.0545,0.6524,1,0.0,0.0296
qos_sensitive,1,41.0,5,1,0.3839,0.5032,0.5604,0.3528,0.7161,1,0.0,0.0296
qos_sensitive,1,41.0,6,10,0.3879,0.5311,0.5913,0.3337,0.7121,1,0.0,0.0296
qos_sensitive,1,41.0,7,8,0.4137,0.511,0.5771,0.2133,0.6863,1,0.0,0.0296
qos_sensitive,1,41.0,8,12,0.3937,0.5054,0.5747,0.3067,0.7063,1,0.0,0.0296
qos_sensitive,1,41.0,9,10,0.3818,0.4842,0.6069,0.3625,0.7182,1,0.0,0.0296
qos_sensitive,1,41.0,10,11,0.4051,0.4537,0.5673,0.2532,0.6949,1,0.0,0.0296
qos_sensitive,1,41.0,11,12,0.3972,0.5072,0.6249,0.2903,0.7028,1,0.0,0.0296
qos_sensitive,1,41.0,12,15,0.436,0.2944,0.5922,0.1088,0.664,1,0.0,0.0296
qos_sensitive,1,41.0,13,14,0.3807,0.5145,0.5865,0.3677,0.7193,1,0.0,0.0296
qos_sensitive,1,41.0,14,15,0.4024,0.5435,0.5864,0.2661,0.6976,1,0.0,0.0296
qos_sensitive,1,41.0,15,16,0.3816,0.4923,0.5722,0.3636,0.7184,1,0.0,0.0296
qos_sensitive,1,41.0,16,15,0.4935,0.5079,0.6349,0.3266,0.7065,2,0.0,0.0296
qos_sensitive,1,51.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
qos_sensitive,1,51.0,2,1,0.3847,0.5121,0.4668,0.3488,0.7153,1,0.0,0.0299
qos_sensitive,1,51.0,3,7,0.393,0.4911,0.5034,0.3101,0.707,1,0.0,0.0299
qos_sensitive,1,51.0,4,7,0.4476,0.1877,0.5014,0.0545,0.6524,1,0.0,0.0299
qos_sensitive,1,51.0,5,1,0.3839,0.5057,0.4575,0.3528,0.7161,1,0.0,0.0299
