scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,11.0,15,16,0.5373,0.4772,0.7582,0.4373,0.5627,1,0.0,0.0549
mixed_attack_energy,0,11.0,16,17,0.5295,0.5497,0.7742,0.4295,0.5705,1,0.0,0.0549
mixed_attack_energy,0,11.0,17,18,0.5498,0.4675,0.756,0.4498,0.5502,1,0.0,0.0549
mixed_attack_energy,0,11.0,18,24,0.5334,0.4139,0.7499,0.4334,0.5666,1,0.0,0.0549
mixed_attack_energy,0,11.0,19,20,0.5438,0.4881,0.7492,0.4438,0.5562,1,0.0,0.0549
mixed_attack_energy,0,11.0,20,21,0.5274,0.4647,0.7582,0.4274,0.5726,1,0.0,0.0549
mixed_attack_energy,0,11.0,21,27,0.5196,0.4344,0.7407,0.4196,0.5804,1,0.0,0.0549
mixed_attack_energy,0,11.0,22,23,0.5599,0.448,0.7598,0.4599,0.5401,1,0.0,0.0549
mixed_attack_energy,0,11.0,23,24,0.5346,0.4593,0.7666,0.4346,0.5654,1,0.0,0.0549
mixed_attack_energy,0,11.0,24,30,0.5286,0.3176,0.7421,0.4286,0.5714,1,0.0,0.0549
mixed_attack_energy,0,11.0,25,26,0.5338,0.5142,0.7569,0.4338,0.5662,1,0.0,0.0549
mixed_attack_energy,0,11.0,26,27,0.5314,0.5096,0.7466,0.4314,0.5686,1,0.0,0.0549
mixed_attack_energy,0,11.0,27,28,0.537,0.4753,0.7279,0.437,0.563,1,0.0,0.0549
mixed_attack_energy,0,11.0,28,29,0.5543,0.4726,0.7389,0.4543,0.5457,1,0.0,0.0549
mixed_attack_energy,0,11.0,29,30,0.5543,0.4826,0.7549,0.4543,0.5457,1,0.0,0.0549
mixed_attack_energy,0,11.0,30,36,0.5435,0.4517,0.7566,0.4435,0.5565,1,0.0,0.0549
mixed_attack_energy,0,11.0,31,32,0.529,0.5415,0.7605,0.429,0.571,1,0.0,0.0549
mixed_attack_energy,0,11.0,32,33,0.5367,0.4578,0.7439,0.4367,0.5633,1,0.0,0.0549
mixed_attack_energy,0,11.0,33,34,0.5482,0.4936,0.7515,0.4482,0.5518,1,0.0,0.0549
mixed_attack_energy,0,11.0,34,28,0.6277,0.5358,0.738,0.4277,0.5723,2,0.0,0.0549
mixed_attack_energy,0,11.0,35,36,0.5486,0.4212,0.7281,0.4486,0.5514,1,0.0,0.0549
mixed_attack_energy,0,11.0,36,30,0.6388,0.4766,0.743,0.4388,0.5612,2,0.0,0.0549
mixed_attack_energy,0,21.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,21.0,2,1,0.52,0.476,0.5157,0.42,0.58,1,0.0,0.0712
mixed_attack_energy,0,21.0,3,4,0.5346,0.2717,0.5144,0.4346,0.5654,1,0.0,0.0712
mixed_attack_energy,0,21.0,4,5,0.5318,0.4773,0.5365,0.4318,0.5682,1,0.0,0.0712
mixed_attack_energy,0,21.0,5,6,0.5655,0.4825,0.5144,0.4655,0.5345,1,0.0,0.0712
mixed_attack_energy,0,21.0,6,12,0.5467,0.3835,0.5238,0.4467,0.5533,1,0.0,0.0712
mixed_attack_energy,0,21.0,7,1,0.5178,0.4669,0.5241,0.4178,0.5822,1,0.0,0.0712
mixed_attack_energy,0,21.0,8,1,0.5899,0.271,0.523,0.4899,0.5101,1,0.0,0.0712
mixed_attack_energy,0,21.0,9,10,0.5295,0.4901,0.5341,0.4295,0.5705,1,0.0,0.0712
mixed_attack_energy,0,21.0,10,11,0.5291,0.5052,0.5424,0.4291,0.5709,1,0.0,0.0712
mixed_attack_energy,0,21.0,11,17,0.5288,0.4213,0.5126,0.4288,0.5712,1,0.0,0.0712
mixed_attack_energy,0,21.0,12,18,0.5454,0.5141,0.5233,0.4454,0.5546,1,0.0,0.0712
mixed_attack_energy,0,21.0,13,14,0.54,0.4698,0.5182,0.44,0.56,1,0.0,0.0712
mixed_attack_energy,0,21.0,14,15,0.5141,0.4243,0.5404,0.4141,0.5859,1,0.0,0.0712
mixed_attack_energy,0,21.0,15,16,0.5373,0.3276,0.5406,0.4373,0.5627,1,0.0,0.0712
mixed_attack_energy,0,21.0,16,17,0.5295,0.497,0.5375,0.4295,0.5705,1,0.0,0.0712
mixed_attack_energy,0,21.0,17,18,0.5498,0.4603,0.5359,0.4498,0.5502,1,0.0,0.0712
mixed_attack_energy,0,21.0,18,24,0.5334,0.426,0.5305,0.4334,0.5666,1,0.0,0.0712
mixed_attack_energy,0,21.0,19,20,0.5438,0.4359,0.5191,0.4438,0.5562,1,0.0,0.0712
mixed_attack_energy,0,21.0,20,21,0.5274,0.4909,0.5357,0.4274,0.5726,1,0.0,0.0712
mixed_attack_energy,0,21.0,21,27,0.5196,0.4221,0.5169,0.4196,0.5804,1,0.0,0.0712
mixed_attack_energy,0,21.0,22,23,0.5599,0.4814,0.5378,0.4599,0.5401,1,0.0,0.0712
mixed_attack_energy,0,21.0,23,24,0.5346,0.4752,0.5309,0.4346,0.5654,1,0.0,0.0712
mixed_attack_energy,0,21.0,24,30,0.5286,0.435,0.5276,0.4286,0.5714,1,0.0,0.0712
mixed_attack_energy,0,21.0,25,26,0.5338,0.49,0.5387,0.4338,0.5662,1,0.0,0.0712
mixed_attack_energy,0,21.0,26,27,0.5314,0.4453,0.527,0.4314,0.5686,1,0.0,0.0712
mixed_attack_energy,0,21.0,27,28,0.537,0.5049,0.4946,0.437,0.563,1,0.0,0.0712
mixed_attack_energy,0,21.0,28,29,0.5543,0.492,0.5288,0.4543,0.5457,1,0.0,0.0712
mixed_attack_energy,0,21.0,29,30,0.5543,0.51,0.5187,0.4543,0.5457,1,0.0,0.0712
mixed_attack_energy,0,21.0,30,36,0.5435,0.5103,0.5491,0.4435,0.5565,1,0.0,0.0712
mixed_attack_energy,0,21.0,31,32,0.529,0.4201,0.5231,0.429,0.571,1,0.0,0.0712
mixed_attack_energy,0,21.0,32,33,0.5367,0.502,0.5158,0.4367,0.5633,1,0.0,0.0712
mixed_attack_energy,0,21.0,33,34,0.5482,0.452,0.5145,0.4482,0.5518,1,0.0,0.0712
mixed_attack_energy,0,21.0,34,28,0.6277,0.4267,0.5224,0.4277,0.5723,2,0.0,0.0712
mixed_attack_energy,0,21.0,35,36,0.5486,0.4046,0.5147,0.4486,0.5514,1,0.0,0.0712
mixed_attack_energy,0,21.0,36,30,0.6388,0.4361,0.5218,0.4388,0.5612,2,0.0,0.0712
mixed_attack_energy,0,31.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,31.0,2,1,0.52,0.4839,0.2826,0.42,0.58,1,0.0,0.0769
mixed_attack_energy,0,31.0,3,4,0.5346,0.3016,0.2923,0.4346,0.5654,1,0.0,0.0769
